序号,图片比例,分辨率,图片尺寸,输入Token量,输出Token量,总Token量,质量参数,估算金额USD,控制台实际花费,控制台Quota,请求时长秒,请求时长,生成文件大小Bytes,生成文件大小,图片文件,修订提示词,状态,错误
29,2:3,2K,1360x2048,37,211,248,自动,0.006330,0.006516,3258,22,22s,3016987,2.88 MB,data/apple/images/029_2-3_2K_1360x2048_auto.png,"A realistic photo of a single red apple sitting on a white table, soft natural light, plain minimal background, clean composition, high detail, realistic photo style",ok,
30,2:3,2K,1360x2048,26,211,237,低,0.006330,0.006460,3230,20,20s,3176326,3.03 MB,data/apple/images/030_2-3_2K_1360x2048_low.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
31,2:3,2K,1360x2048,26,211,237,中,0.006330,0.006460,3230,20,20s,3165150,3.02 MB,data/apple/images/031_2-3_2K_1360x2048_medium.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
32,2:3,2K,1360x2048,26,211,237,高,0.006330,0.006460,3230,19,19s,3054568,2.91 MB,data/apple/images/032_2-3_2K_1360x2048_high.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
33,2:3,4K,2336x3520,37,6870,6907,自动,0.206100,0.206286,103143,80,1m 20s,8961473,8.55 MB,data/apple/images/033_2-3_4K_2336x3520_auto.png,"A single red apple placed on a white table, soft natural light, plain minimal background, realistic photo style, high detail, clean composition, studio-quality realism",ok,
34,2:3,4K,2336x3520,26,450,476,低,0.013500,0.013630,6815,36,36s,8030871,7.66 MB,data/apple/images/034_2-3_4K_2336x3520_low.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
35,2:3,4K,2336x3520,26,450,476,中,0.013500,0.013630,6815,36,36s,8336524,7.95 MB,data/apple/images/035_2-3_4K_2336x3520_medium.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
36,2:3,4K,2336x3520,26,450,476,高,0.013500,0.013630,6815,40,40s,9029426,8.61 MB,data/apple/images/036_2-3_4K_2336x3520_high.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
37,4:3,1K,1024x768,43,1204,1247,自动,0.036120,0.036336,18168,50,50s,943207,921.10 KB,data/apple/images/037_4-3_1K_1024x768_auto.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style. High-resolution, clean composition, minimal scene, subtle shadows, photorealistic.",ok,
38,4:3,1K,1024x768,26,134,160,低,0.004020,0.004150,2075,18,18s,891683,870.78 KB,data/apple/images/038_4-3_1K_1024x768_low.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
39,4:3,1K,1024x768,26,134,160,中,0.004020,0.004150,2075,18,18s,941611,919.54 KB,data/apple/images/039_4-3_1K_1024x768_medium.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
40,4:3,1K,1024x768,26,134,160,高,0.004020,0.004150,2075,15,15s,922293,900.68 KB,data/apple/images/040_4-3_1K_1024x768_high.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
41,4:3,2K,2048x1536,26,247,273,自动,0.007410,0.007540,3770,25,25s,3704040,3.53 MB,data/apple/images/041_4-3_2K_2048x1536_auto.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
42,4:3,2K,2048x1536,26,247,273,低,0.007410,0.007540,3770,25,25s,3492104,3.33 MB,data/apple/images/042_4-3_2K_2048x1536_low.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
43,4:3,2K,2048x1536,26,247,273,中,0.007410,0.007540,3770,22,22s,3631400,3.46 MB,data/apple/images/043_4-3_2K_2048x1536_medium.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
44,4:3,2K,2048x1536,26,247,273,高,0.007410,0.007540,3770,25,25s,4257447,4.06 MB,data/apple/images/044_4-3_2K_2048x1536_high.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
45,4:3,4K,3312x2480,26,491,517,自动,0.014730,0.014860,7430,38,38s,8847526,8.44 MB,data/apple/images/045_4-3_4K_3312x2480_auto.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
46,4:3,4K,3312x2480,40,491,531,低,0.014730,0.014930,7465,38,38s,8584502,8.19 MB,data/apple/images/046_4-3_4K_3312x2480_low.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style. High-resolution, clean composition, subtle shadows, minimalistic still life.",ok,
47,4:3,4K,3312x2480,26,491,517,中,0.014730,0.014860,7430,39,39s,7258185,6.92 MB,data/apple/images/047_4-3_4K_3312x2480_medium.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
48,4:3,4K,3312x2480,26,491,517,高,0.014730,0.014860,7430,39,39s,8660555,8.26 MB,data/apple/images/048_4-3_4K_3312x2480_high.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
49,3:4,1K,768x1024,26,134,160,自动,0.004020,0.004150,2075,17,17s,1010249,986.57 KB,data/apple/images/049_3-4_1K_768x1024_auto.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
50,3:4,1K,768x1024,41,1204,1245,低,0.036120,0.036326,18163,41,41s,926387,904.67 KB,data/apple/images/050_3-4_1K_768x1024_low.png,"A realistic photo of a single red apple on a white table, soft natural light, plain minimal background, clean composition, high detail, realistic shadows, studio-quality photography style.",ok,
51,3:4,1K,768x1024,26,134,160,中,0.004020,0.004150,2075,14,14s,1025112,1001.09 KB,data/apple/images/051_3-4_1K_768x1024_medium.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
52,3:4,1K,768x1024,43,134,177,高,0.004020,0.004236,2118,17,17s,930453,908.65 KB,data/apple/images/052_3-4_1K_768x1024_high.png,"A realistic photo style image of a single red apple placed on a white table, soft natural light, plain minimal background, clean composition, high detail, subtle shadows, studio-quality realism.",ok,
53,3:4,2K,1536x2048,35,247,282,自动,0.007410,0.007586,3793,20,20s,3532014,3.37 MB,data/apple/images/053_3-4_2K_1536x2048_auto.png,"A single red apple placed on a white table, soft natural light, plain background, realistic photo style, clean composition, high detail, subtle shadows",ok,
54,3:4,2K,1536x2048,26,247,273,低,0.007410,0.007540,3770,23,23s,3576746,3.41 MB,data/apple/images/054_3-4_2K_1536x2048_low.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
55,3:4,2K,1536x2048,26,247,273,中,0.007410,0.007540,3770,23,23s,3918193,3.74 MB,data/apple/images/055_3-4_2K_1536x2048_medium.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
56,3:4,2K,1536x2048,37,3952,3989,高,0.118560,0.118746,59373,69,1m 9s,3645175,3.48 MB,data/apple/images/056_3-4_2K_1536x2048_high.png,"A realistic photo of a single red apple sitting on a white table, soft natural light, plain minimal background, clean composition, high detail, photographic style.",ok,
57,3:4,4K,2480x3312,26,491,517,自动,0.014730,0.014860,7430,40,40s,9136390,8.71 MB,data/apple/images/057_3-4_4K_2480x3312_auto.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
58,3:4,4K,2480x3312,37,4413,4450,低,0.132390,0.132576,66288,60,1m,6754191,6.44 MB,data/apple/images/058_3-4_4K_2480x3312_low.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style. Clean composition, minimal shadows, high-detail realistic photography.",ok,
59,3:4,4K,2480x3312,36,491,527,中,0.014730,0.014910,7455,39,39s,8367335,7.98 MB,data/apple/images/059_3-4_4K_2480x3312_medium.png,"A single red apple sitting on a white table, soft natural light, plain background, realistic photo style, clean composition, high detail, subtle shadows.",ok,
60,3:4,4K,2480x3312,26,491,517,高,0.014730,0.014860,7430,39,39s,9713285,9.26 MB,data/apple/images/060_3-4_4K_2480x3312_high.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
61,5:4,1K,1280x1024,26,173,199,自动,0.005190,0.005320,2660,23,23s,1527428,1.46 MB,data/apple/images/061_5-4_1K_1280x1024_auto.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
62,5:4,1K,1280x1024,26,173,199,低,0.005190,0.005320,2660,23,23s,1608886,1.53 MB,data/apple/images/062_5-4_1K_1280x1024_low.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
63,5:4,1K,1280x1024,26,173,199,中,0.005190,0.005320,2660,17,17s,1524907,1.45 MB,data/apple/images/063_5-4_1K_1280x1024_medium.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
64,5:4,1K,1280x1024,42,1510,1552,高,0.045300,0.045510,22755,44,44s,1380041,1.32 MB,data/apple/images/064_5-4_1K_1280x1024_high.png,"A realistic photo of a single red apple sitting on a white table, soft natural light, plain minimal background, clean composition, high detail, natural shadows, shallow depth of field.",ok,
65,5:4,2K,2560x2048,33,5911,5944,自动,0.177330,0.177496,88748,74,1m 14s,5381190,5.13 MB,data/apple/images/065_5-4_2K_2560x2048_auto.png,"A single red apple sitting on a white table, soft natural light, plain minimalist background, realistic photo style, high detail, clean composition",ok,
66,5:4,2K,2560x2048,26,377,403,低,0.011310,0.011440,5720,29,29s,5582913,5.32 MB,data/apple/images/066_5-4_2K_2560x2048_low.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
67,5:4,2K,2560x2048,26,377,403,中,0.011310,0.011440,5720,29,29s,5590590,5.33 MB,data/apple/images/067_5-4_2K_2560x2048_medium.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
68,5:4,2K,2560x2048,43,3303,3346,高,0.099090,0.099306,49653,57,57s,5276676,5.03 MB,data/apple/images/068_5-4_2K_2560x2048_high.png,"A realistic photo style image of a single red apple on a white table, soft natural light, plain background, minimal composition, clean and simple, high detail, shallow depth of field.",ok,
69,5:4,4K,3216x2576,26,535,561,自动,0.016050,0.016180,8090,45,45s,7993176,7.62 MB,data/apple/images/069_5-4_4K_3216x2576_auto.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
70,5:4,4K,3216x2576,39,535,574,低,0.016050,0.016246,8123,42,42s,6547681,6.24 MB,data/apple/images/070_5-4_4K_3216x2576_low.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style. High-resolution, clean composition, minimal shadows, studio-like realism.",ok,
71,5:4,4K,3216x2576,26,535,561,中,0.016050,0.016180,8090,47,47s,7938595,7.57 MB,data/apple/images/071_5-4_4K_3216x2576_medium.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
72,5:4,4K,3216x2576,26,535,561,高,0.016050,0.016180,8090,47,47s,8653366,8.25 MB,data/apple/images/072_5-4_4K_3216x2576_high.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
73,4:5,1K,1024x1280,26,173,199,自动,0.005190,0.005320,2660,24,24s,1628847,1.55 MB,data/apple/images/073_4-5_1K_1024x1280_auto.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
74,4:5,1K,1024x1280,26,173,199,低,0.005190,0.005320,2660,24,24s,1526786,1.46 MB,data/apple/images/074_4-5_1K_1024x1280_low.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
75,4:5,1K,1024x1280,26,173,199,中,0.005190,0.005320,2660,17,17s,1737579,1.66 MB,data/apple/images/075_4-5_1K_1024x1280_medium.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
76,4:5,1K,1024x1280,40,689,729,高,0.020670,0.020870,10435,31,31s,1533207,1.46 MB,data/apple/images/076_4-5_1K_1024x1280_high.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style. High detail, clean composition, minimal scene, photorealistic.",ok,
77,4:5,2K,2048x2560,38,5911,5949,自动,0.177330,0.177520,88760,80,1m 20s,5262840,5.02 MB,data/apple/images/077_4-5_2K_2048x2560_auto.png,"A realistic photo of a single red apple on a white table, soft natural light, plain minimal background, clean composition, high detail, shallow depth of field.",ok,
78,4:5,2K,2048x2560,26,377,403,低,0.011310,0.011440,5720,27,27s,6176422,5.89 MB,data/apple/images/078_4-5_2K_2048x2560_low.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
79,4:5,2K,2048x2560,26,377,403,中,0.011310,0.011440,5720,25,25s,5561515,5.30 MB,data/apple/images/079_4-5_2K_2048x2560_medium.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
80,4:5,2K,2048x2560,26,377,403,高,0.011310,0.011440,5720,27,27s,6244294,5.96 MB,data/apple/images/080_4-5_2K_2048x2560_high.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
81,4:5,4K,2576x3216,26,535,561,自动,0.016050,0.016180,8090,65,1m 5s,8281187,7.90 MB,data/apple/images/081_4-5_4K_2576x3216_auto.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
82,4:5,4K,2576x3216,37,535,572,低,0.016050,0.016236,8118,42,42s,6703936,6.39 MB,data/apple/images/082_4-5_4K_2576x3216_low.png,"A single red apple sitting on a white table, soft natural light, plain neutral background, realistic photo style, clean composition, high detail, subtle shadows.",ok,
83,4:5,4K,2576x3216,26,535,561,中,0.016050,0.016180,8090,38,38s,5714385,5.45 MB,data/apple/images/083_4-5_4K_2576x3216_medium.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
84,4:5,4K,2576x3216,26,535,561,高,0.016050,0.016180,8090,38,38s,7781147,7.42 MB,data/apple/images/084_4-5_4K_2576x3216_high.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
