序号,图片比例,分辨率,图片尺寸,提示词,输入Token量,输出Token量,总Token量,质量参数,估算金额USD,控制台实际花费,控制台Quota,请求时长秒,请求时长,生成文件大小Bytes,生成文件大小,图片文件,修订提示词,状态,错误
11,1:1,4K,2880x2880,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",53,5930,5983,中,0.177900,0.178166,89083,87,1m 27s,12331895,11.76 MB,data/reading-corner/images/011_1-1_4K_2880x2880_medium.png,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",ok,
12,1:1,4K,2880x2880,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",70,5930,6000,高,0.177900,0.178250,89125,95,1m 35s,11188448,10.67 MB,data/reading-corner/images/012_1-1_4K_2880x2880_high.png,"A cozy reading corner in a small apartment, realistic interior photography. Include a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, soft shadows, inviting atmosphere, natural lived-in details, warm neutral tones, high detail, shallow depth of field.",ok,
13,3:2,1K,1536x1024,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",76,1372,1448,自动,0.041160,0.041540,20770,50,50s,2325973,2.22 MB,data/reading-corner/images/013_3-2_1K_1536x1024_auto.png,"A cozy reading corner in a small apartment, featuring a wooden bookshelf filled with books, a warm floor lamp casting soft shadows, a comfortable green armchair, a patterned rug, a rainy window view in the background, several open books on a small side table, realistic interior photography style, inviting atmosphere, natural details, soft warm lighting, high realism.",ok,
14,3:2,1K,1536x1024,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",53,1372,1425,低,0.041160,0.041426,20713,49,49s,2509317,2.39 MB,data/reading-corner/images/014_3-2_1K_1536x1024_low.png,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",ok,
15,3:2,1K,1536x1024,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",82,1372,1454,中,0.041160,0.041570,20785,46,46s,2615775,2.49 MB,data/reading-corner/images/015_3-2_1K_1536x1024_medium.png,"A cozy reading corner in a small apartment, realistic interior photography. Include a wooden bookshelf filled with books, a warm floor lamp casting soft shadows, a green armchair, a patterned rug, a rainy window view with droplets and muted cityscape, several open books on a small side table, inviting atmosphere, natural composition, soft ambient lighting, highly detailed, photorealistic.",ok,
16,3:2,1K,1536x1024,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",84,1372,1456,高,0.041160,0.041580,20790,49,49s,2582801,2.46 MB,data/reading-corner/images/016_3-2_1K_1536x1024_high.png,"A cozy reading corner in a small apartment, realistic interior photography. A wooden bookshelf filled with books, a warm floor lamp casting soft shadows, a comfortable green armchair, a patterned rug, a side table with several open books, and a rainy window view in the background. Inviting atmosphere, natural light mixed with warm lamp light, tasteful decor, photorealistic, high detail.",ok,
17,3:2,2K,2048x1360,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",86,1838,1924,自动,0.055140,0.055570,27785,53,53s,3867221,3.69 MB,data/reading-corner/images/017_3-2_2K_2048x1360_auto.png,"A cozy reading corner in a small apartment, realistic interior photography. Scene includes a wooden bookshelf filled with books, a warm floor lamp casting soft shadows, a green armchair, a patterned rug, a rainy window view with raindrops and blurred city lights outside, several open books on a side table. Inviting atmosphere, natural composition, soft warm lighting, high detail, photorealistic.",ok,
18,3:2,2K,2048x1360,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",53,1838,1891,低,0.055140,0.055406,27703,51,51s,4031463,3.84 MB,data/reading-corner/images/018_3-2_2K_2048x1360_low.png,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",ok,
19,3:2,2K,2048x1360,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",83,1838,1921,中,0.055140,0.055556,27778,61,1m 1s,4192897,4.00 MB,data/reading-corner/images/019_3-2_2K_2048x1360_medium.png,"A cozy reading corner in a small apartment, realistic interior photography. Include a wooden bookshelf filled with books, a warm floor lamp casting soft light, a green armchair, a patterned rug, a rainy window view with raindrops on the glass, and several open books on a side table. Soft shadows, inviting atmosphere, natural lived-in details, warm neutral tones, high realism.",ok,
20,3:2,2K,2048x1360,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",99,1838,1937,高,0.055140,0.055636,27818,51,51s,4710213,4.49 MB,data/reading-corner/images/020_3-2_2K_2048x1360_high.png,"A cozy reading corner in a small apartment, realistic interior photography. A wooden bookshelf filled with books stands beside a warm floor lamp casting soft shadows. A comfortable green armchair sits on a patterned rug. Nearby, a small side table holds several open books and a cup. Large window in the background shows a rainy city view with raindrops on the glass. Inviting, lived-in atmosphere, natural textures, soft warm lighting, high detail, interior design photography.",ok,
21,3:2,4K,3520x2336,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",84,3926,4010,自动,0.117780,0.118200,59100,74,1m 14s,11211152,10.69 MB,data/reading-corner/images/021_3-2_4K_3520x2336_auto.png,"A cozy reading corner in a small apartment, realistic interior photography. Include a wooden bookshelf filled with books, a warm floor lamp casting soft shadows, a green armchair, a patterned rug, a side table with several open books, and a rainy window view in the background. Inviting atmosphere, soft natural light mixed with lamp light, lived-in but tidy, high detail, realistic textures.",ok,
22,3:2,4K,3520x2336,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",75,1718,1793,低,0.051540,0.051916,25958,57,57s,10372543,9.89 MB,data/reading-corner/images/022_3-2_4K_3520x2336_low.png,"A cozy reading corner in a small apartment, realistic interior photography. A wooden bookshelf filled with books, a warm floor lamp casting soft shadows, a comfortable green armchair, a patterned rug, a rainy window view in the background, several open books on a small side table, inviting atmosphere, natural textures, softly lit, intimate and serene composition.",ok,
23,3:2,4K,3520x2336,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",82,3926,4008,中,0.117780,0.118190,59095,82,1m 22s,10369491,9.89 MB,data/reading-corner/images/023_3-2_4K_3520x2336_medium.png,"A cozy reading corner in a small apartment, featuring a wooden bookshelf filled with books, a warm floor lamp casting soft shadows, a comfortable green armchair, a patterned rug, a rainy window view in the background, several open books on a side table, realistic interior photography, inviting atmosphere, natural textures, subtle reflections on the window, lived-in but tidy space, warm color palette",ok,
24,3:2,4K,3520x2336,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",78,3926,4004,高,0.117780,0.118170,59085,75,1m 15s,11560013,11.02 MB,data/reading-corner/images/024_3-2_4K_3520x2336_high.png,"A cozy reading corner in a small apartment, realistic interior photography. A wooden bookshelf filled with books, a warm floor lamp casting soft shadows, a comfortable green armchair, a patterned rug, a rainy window view with raindrops and soft overcast light, several open books on a side table, inviting atmosphere, tasteful decor, natural composition, high detail.",ok,
25,2:3,1K,1024x1536,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",78,1372,1450,自动,0.041160,0.041550,20775,49,49s,2573329,2.45 MB,data/reading-corner/images/025_2-3_1K_1024x1536_auto.png,"A cozy reading corner in a small apartment, realistic interior photography. Include a wooden bookshelf filled with books, a warm floor lamp casting soft shadows, a green armchair, a patterned rug, a rainy window view in the background, and several open books on a side table. Inviting atmosphere, natural composition, high detail, soft warm lighting, realistic textures.",ok,
26,2:3,1K,1024x1536,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",53,1372,1425,低,0.041160,0.041426,20713,50,50s,2534316,2.42 MB,data/reading-corner/images/026_2-3_1K_1024x1536_low.png,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",ok,
27,2:3,1K,1024x1536,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",53,1372,1425,中,0.041160,0.041426,20713,50,50s,2561837,2.44 MB,data/reading-corner/images/027_2-3_1K_1024x1536_medium.png,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",ok,
28,2:3,1K,1024x1536,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",80,1372,1452,高,0.041160,0.041560,20780,51,51s,2441683,2.33 MB,data/reading-corner/images/028_2-3_1K_1024x1536_high.png,"A cozy reading corner in a small apartment, realistic interior photography. Include a wooden bookshelf filled with books, a warm floor lamp casting soft shadows, a green armchair, a patterned rug, a rainy window view with raindrops visible, and several open books on a side table. Inviting atmosphere, natural composition, soft warm lighting, high detail, realistic textures.",ok,
29,2:3,2K,1360x2048,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",75,1838,1913,自动,0.055140,0.055516,27758,56,56s,3961340,3.78 MB,data/reading-corner/images/029_2-3_2K_1360x2048_auto.png,"A cozy reading corner in a small apartment, realistic interior photography. Include a wooden bookshelf filled with books, a warm floor lamp casting soft shadows, a green armchair, a patterned rug, a rainy window view in the background, and several open books on a small side table. Inviting atmosphere, natural details, soft lighting, intimate composition.",ok,
30,2:3,2K,1360x2048,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",53,1838,1891,低,0.055140,0.055406,27703,52,52s,4092555,3.90 MB,data/reading-corner/images/030_2-3_2K_1360x2048_low.png,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",ok,
31,2:3,2K,1360x2048,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",84,1838,1922,中,0.055140,0.055560,27780,89,1m 29s,4114940,3.92 MB,data/reading-corner/images/031_2-3_2K_1360x2048_medium.png,"A cozy reading corner in a small apartment, realistic interior photography. Include a wooden bookshelf filled with books, a warm floor lamp casting soft shadows, a green armchair, a patterned rug, a rainy window view with raindrops and muted city lights, several open books on a side table, inviting atmosphere, natural lived-in details, soft warm color palette, high realism, balanced composition.",ok,
32,2:3,2K,1360x2048,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",53,1838,1891,高,0.055140,0.055406,27703,81,1m 21s,4324494,4.12 MB,data/reading-corner/images/032_2-3_2K_1360x2048_high.png,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",ok,
33,2:3,4K,2336x3520,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",77,3926,4003,自动,0.117780,0.118166,59083,73,1m 13s,11143314,10.63 MB,data/reading-corner/images/033_2-3_4K_2336x3520_auto.png,"A cozy reading corner in a small apartment, realistic interior photography. A wooden bookshelf filled with books, a warm floor lamp casting soft shadows, a green armchair, patterned rug, rainy window view in the background, several open books on a side table, inviting atmosphere, natural textures, softly lit, high detail, modern but lived-in, no people.",ok,
34,2:3,4K,2336x3520,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",53,3926,3979,低,0.117780,0.118046,59023,77,1m 17s,11127003,10.61 MB,data/reading-corner/images/034_2-3_4K_2336x3520_low.png,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",ok,
35,2:3,4K,2336x3520,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",53,3926,3979,中,0.117780,0.118046,59023,138,2m 18s,10680634,10.19 MB,data/reading-corner/images/035_2-3_4K_2336x3520_medium.png,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",ok,
36,2:3,4K,2336x3520,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",82,3926,4008,高,0.117780,0.118190,59095,76,1m 16s,10752968,10.25 MB,data/reading-corner/images/036_2-3_4K_2336x3520_high.png,"A cozy reading corner in a small apartment, realistic interior photography. A wooden bookshelf filled with books, a warm floor lamp casting soft shadows, a comfortable green armchair, a patterned rug, a rainy window view with raindrops and muted city lights, several open books on a side table, inviting atmosphere, natural clutter, soft ambient lighting, high detail, authentic home interior.",ok,
37,4:3,1K,1024x768,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",79,1204,1283,自动,0.036120,0.036516,18258,52,52s,1300929,1.24 MB,data/reading-corner/images/037_4-3_1K_1024x768_auto.png,"A cozy reading corner in a small apartment, realistic interior photography. Include a wooden bookshelf filled with books, a warm floor lamp casting soft shadows, a comfortable green armchair, a patterned rug, a rainy window view in the background, and several open books on a side table. Inviting atmosphere, natural composition, detailed textures, soft ambient light, high realism.",ok,
38,4:3,1K,1024x768,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",84,1204,1288,低,0.036120,0.036540,18270,51,51s,1264319,1.21 MB,data/reading-corner/images/038_4-3_1K_1024x768_low.png,"A cozy reading corner in a small apartment, realistic interior photography. A wooden bookshelf filled with books beside a comfortable green armchair. Warm floor lamp casting soft shadows, patterned rug on the floor, side table with several open books, rainy window view in the background with gentle raindrops and muted city lights. Inviting, intimate atmosphere, natural composition, high detail, soft warm tones.",ok,
39,4:3,1K,1024x768,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",89,1204,1293,中,0.036120,0.036566,18283,56,56s,1353835,1.29 MB,data/reading-corner/images/039_4-3_1K_1024x768_medium.png,"A cozy reading corner in a small apartment, realistic interior photography. A wooden bookshelf filled with books, a warm floor lamp casting soft shadows, a green armchair with inviting cushions, a patterned rug on the floor, a side table with several open books, and a rainy window view in the background. Soft, natural lighting, warm and inviting atmosphere, tidy but lived-in, highly detailed, photorealistic.",ok,
40,4:3,1K,1024x768,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",82,1204,1286,高,0.036120,0.036530,18265,47,47s,1340464,1.28 MB,data/reading-corner/images/040_4-3_1K_1024x768_high.png,"A cozy reading corner in a small apartment, realistic interior photography. A wooden bookshelf filled with books, a warm floor lamp casting soft shadows, a green armchair, a patterned rug, a rainy window view with droplets and soft gray sky, several open books on a side table, inviting atmosphere, natural textures, subtle details, high realism, softly lit, comfortable and serene composition.",ok,
41,4:3,2K,2048x1536,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",81,2223,2304,自动,0.066690,0.067096,33548,60,1m,4692058,4.47 MB,data/reading-corner/images/041_4-3_2K_2048x1536_auto.png,"A cozy reading corner in a small apartment, realistic interior photography. Include a wooden bookshelf filled with books, a warm floor lamp casting soft shadows, a green armchair, a patterned rug, a rainy window with blurred city view, several open books on a side table, inviting atmosphere, natural textures, soft ambient lighting, high detail, lived-in but tidy, horizontal composition.",ok,
42,4:3,2K,2048x1536,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",53,2223,2276,低,0.066690,0.066956,33478,58,58s,5137384,4.90 MB,data/reading-corner/images/042_4-3_2K_2048x1536_low.png,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",ok,
43,4:3,2K,2048x1536,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",78,2223,2301,中,0.066690,0.067080,33540,62,1m 2s,4233004,4.04 MB,data/reading-corner/images/043_4-3_2K_2048x1536_medium.png,"A cozy reading corner in a small apartment, realistic interior photography. A wooden bookshelf filled with books, a warm floor lamp casting soft shadows, a comfortable green armchair, a patterned rug, a side table with several open books, and a rainy window view in the background. Inviting atmosphere, natural textures, soft lighting, detailed, realistic, homey.",ok,
44,4:3,2K,2048x1536,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",53,2223,2276,高,0.066690,0.066956,33478,54,54s,4605826,4.39 MB,data/reading-corner/images/044_4-3_2K_2048x1536_high.png,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",ok,
45,4:3,4K,3312x2480,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",85,4413,4498,自动,0.132390,0.132816,66408,107,1m 47s,11224623,10.70 MB,data/reading-corner/images/045_4-3_4K_3312x2480_auto.png,"A cozy reading corner in a small apartment, realistic interior photography. A wooden bookshelf with neatly arranged books, a warm floor lamp casting soft light, a comfortable green armchair, a patterned rug, a rainy window view in the background with raindrops on the glass, several open books on a small side table, soft shadows, inviting atmosphere, warm and intimate, natural textures, high detail.",ok,
46,4:3,4K,3312x2480,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",80,4413,4493,低,0.132390,0.132790,66395,85,1m 25s,11752635,11.21 MB,data/reading-corner/images/046_4-3_4K_3312x2480_low.png,"A cozy reading corner in a small apartment, realistic interior photography. Include a wooden bookshelf filled with books, a warm floor lamp casting soft light, a comfortable green armchair, a patterned rug, a rainy window view in the background, and several open books on a small side table. Soft shadows, inviting atmosphere, natural composition, detailed textures, warm and serene mood.",ok,
47,4:3,4K,3312x2480,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",95,4413,4508,中,0.132390,0.132866,66433,87,1m 27s,11435317,10.91 MB,data/reading-corner/images/047_4-3_4K_3312x2480_medium.png,"A cozy reading corner in a small apartment, realistic interior photography. Include a wooden bookshelf filled with books, a warm floor lamp casting soft shadows, a comfortable green armchair, a patterned rug, a rainy window view with visible raindrops and a blurred city or neighborhood outside, and a small side table with several open books. The atmosphere should feel inviting, intimate, and lived-in, with natural textures, warm lighting, and balanced composition.",ok,
