序号,图片比例,分辨率,图片尺寸,提示词,输入Token量,输出Token量,总Token量,质量参数,估算金额USD,控制台实际花费,控制台Quota,请求时长秒,请求时长,生成文件大小Bytes,生成文件大小,图片文件,修订提示词,状态,错误
11,1:1,4K,2880x2880,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",86,5930,6016,中,0.177900,0.178330,89165,242,4m 2s,12388733,11.81 MB,data/floating-city/images/011_1-1_4K_2880x2880_medium.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, balanced composition, highly detailed, photorealistic, dramatic yet serene atmosphere.",ok,
12,1:1,4K,2880x2880,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",102,5930,6032,高,0.177900,0.178410,89205,93,1m 33s,12484607,11.91 MB,data/floating-city/images/012_1-1_4K_2880x2880_high.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset. Layered glass towers rise from floating platforms, with suspended gardens draping between structures. Small transport pods move between buildings. People walk across transparent sky bridges. Shimmering reflections dance on the water below. Orange and violet clouds fill the sky. Intricate architectural details throughout, realistic lighting, atmospheric haze, balanced composition, ultra-detailed, photorealistic, cinematic, wide-angle perspective.",ok,
13,3:2,1K,1536x1024,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",82,5488,5570,自动,0.164640,0.165050,82525,146,2m 26s,3068923,2.93 MB,data/floating-city/images/013_3-2_1K_1536x1024_auto.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, balanced composition, highly detailed, photorealistic concept art",ok,
14,3:2,1K,1536x1024,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",109,5488,5597,低,0.164640,0.165186,82593,151,2m 31s,2926980,2.79 MB,data/floating-city/images/014_3-2_1K_1536x1024_low.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset. Layered glass towers rise from hovering platforms, with suspended gardens and lush greenery woven between structures. Small transport pods move between buildings on elegant pathways. People walk across transparent sky bridges, visible in silhouette and detail. The ocean below reflects the city and sunset with shimmering highlights. Sky filled with orange and violet clouds, atmospheric haze, realistic lighting, intricate architectural details, balanced composition, highly detailed, photorealistic, cinematic scale.",ok,
15,3:2,1K,1536x1024,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",97,5488,5585,中,0.164640,0.165126,82563,142,2m 22s,2825929,2.70 MB,data/floating-city/images/015_3-2_1K_1536x1024_medium.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset. Layered glass towers rise from hovering platforms, with suspended gardens cascading between structures. Small transport pods move between buildings, and people walk across transparent sky bridges. The ocean below reflects shimmering lights and the city silhouette. Sky filled with orange and violet clouds, realistic lighting, atmospheric haze, intricate architectural details, balanced composition, highly detailed, photorealistic, cinematic atmosphere.",ok,
16,3:2,1K,1536x1024,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",75,1372,1447,高,0.041160,0.041536,20768,66,1m 6s,3097349,2.95 MB,data/floating-city/images/016_3-2_1K_1536x1024_high.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",ok,
17,3:2,2K,2048x1360,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",75,1838,1913,自动,0.055140,0.055516,27758,55,55s,4903965,4.68 MB,data/floating-city/images/017_3-2_2K_2048x1360_auto.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",ok,
18,3:2,2K,2048x1360,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",115,1838,1953,低,0.055140,0.055716,27858,53,53s,4702521,4.48 MB,data/floating-city/images/018_3-2_2K_2048x1360_low.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset. Layered glass towers rise from hovering platforms, with suspended gardens and lush greenery integrated into the architecture. Small transport pods move between buildings on sleek elevated routes, and tiny people walk across transparent sky bridges. The water below reflects the city and sunset glow with shimmering highlights. Orange and violet clouds fill the sky, with atmospheric haze, realistic lighting, intricate architectural details, and a balanced composition. Ultra-detailed, photorealistic, cinematic, dramatic but serene.",ok,
19,3:2,2K,2048x1360,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",82,7351,7433,中,0.220530,0.220940,110470,146,2m 26s,4847370,4.62 MB,data/floating-city/images/019_3-2_2K_2048x1360_medium.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, balanced composition, highly detailed, photorealistic concept art",ok,
20,3:2,2K,2048x1360,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",84,1838,1922,高,0.055140,0.055560,27780,52,52s,4820723,4.60 MB,data/floating-city/images/020_3-2_2K_2048x1360_high.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, balanced composition, ultra-detailed, photorealistic, expansive scale",ok,
21,3:2,4K,3520x2336,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",88,3926,4014,自动,0.117780,0.118220,59110,146,2m 26s,12045487,11.49 MB,data/floating-city/images/021_3-2_4K_3520x2336_auto.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, balanced composition, highly detailed, photorealistic, dramatic yet serene, ultra-wide composition",ok,
22,3:2,4K,3520x2336,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",99,3926,4025,低,0.117780,0.118276,59138,203,3m 23s,12465267,11.89 MB,data/floating-city/images/022_3-2_4K_3520x2336_low.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset. Layered glass towers with intricate architectural details rise from elevated platforms, suspended gardens cascade between structures, small sleek transport pods move between buildings, and people walk across transparent sky bridges. The ocean below reflects shimmering light from the city and sunset. Orange and violet clouds fill the sky, with realistic lighting, atmospheric haze, balanced composition, and a highly detailed photorealistic cinematic style.",ok,
23,3:2,4K,3520x2336,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",97,15703,15800,中,0.471090,0.471576,235788,222,3m 42s,11781591,11.24 MB,data/floating-city/images/023_3-2_4K_3520x2336_medium.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition. Highly detailed, realistic, cinematic color grading, expansive scale, clean composition, ultra-detailed environment concept art.",ok,
24,3:2,4K,3520x2336,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",75,3926,4001,高,0.117780,0.118156,59078,146,2m 26s,12013020,11.46 MB,data/floating-city/images/024_3-2_4K_3520x2336_high.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",ok,
25,2:3,1K,1024x1536,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",75,1372,1447,自动,0.041160,0.041536,20768,53,53s,3040828,2.90 MB,data/floating-city/images/025_2-3_1K_1024x1536_auto.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",ok,
26,2:3,1K,1024x1536,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",96,1372,1468,低,0.041160,0.041640,20820,52,52s,2980878,2.84 MB,data/floating-city/images/026_2-3_1K_1024x1536_low.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition. Ultra-detailed, realistic, expansive scale, high dynamic range, elegant sci-fi architecture, serene mood.",ok,
27,2:3,1K,1024x1536,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",75,1372,1447,中,0.041160,0.041536,20768,53,53s,2919554,2.78 MB,data/floating-city/images/027_2-3_1K_1024x1536_medium.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",ok,
28,2:3,1K,1024x1536,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",92,5488,5580,高,0.164640,0.165100,82550,144,2m 24s,2818196,2.69 MB,data/floating-city/images/028_2-3_1K_1024x1536_high.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset. Layered glass towers with intricate architectural details, suspended gardens and terraces, small transport pods moving between buildings, people walking across transparent sky bridges. Reflections shimmering on the water below. Orange and violet clouds filling the sky, realistic lighting, atmospheric haze, balanced composition, highly detailed, photorealistic, dramatic yet serene sci-fi cityscape.",ok,
29,2:3,2K,1360x2048,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",98,7351,7449,自动,0.220530,0.221020,110510,150,2m 30s,4871815,4.65 MB,data/floating-city/images/029_2-3_2K_1360x2048_auto.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition. Ultra-detailed, photorealistic, expansive scale, dynamic yet serene, rich reflections, soft sunset glow.",ok,
30,2:3,2K,1360x2048,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",106,1838,1944,低,0.055140,0.055670,27835,59,59s,4961242,4.73 MB,data/floating-city/images/030_2-3_2K_1360x2048_low.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset. Layered glass towers rise from hovering platforms, with suspended gardens cascading between structures. Small transport pods move between buildings, and people walk across transparent sky bridges. Shimmering reflections dance on the water below. The sky is filled with orange and violet clouds, with intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition. Ultra-detailed, photorealistic, epic scale, high dynamic range.",ok,
31,2:3,2K,1360x2048,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",75,1838,1913,中,0.055140,0.055516,27758,58,58s,4840919,4.62 MB,data/floating-city/images/031_2-3_2K_1360x2048_medium.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",ok,
32,2:3,2K,1360x2048,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",90,7351,7441,高,0.220530,0.220980,110490,148,2m 28s,4691051,4.47 MB,data/floating-city/images/032_2-3_2K_1360x2048_high.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition. Highly detailed, photorealistic, epic scale, wide aspect ratio.",ok,
33,2:3,4K,2336x3520,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",95,3926,4021,自动,0.117780,0.118256,59128,221,3m 41s,11896877,11.35 MB,data/floating-city/images/033_2-3_4K_2336x3520_auto.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition. Highly detailed, photorealistic, cinematic color grading, expansive horizon, dramatic yet serene mood.",ok,
34,2:3,4K,2336x3520,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",92,3926,4018,低,0.117780,0.118240,59120,148,2m 28s,12180303,11.62 MB,data/floating-city/images/034_2-3_4K_2336x3520_low.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, featuring layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, shimmering reflections on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition. Ultra-detailed, photorealistic, dramatic yet serene, wide establishing shot.",ok,
35,2:3,4K,2336x3520,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",75,3926,4001,中,0.117780,0.118156,59078,279,4m 39s,12289997,11.72 MB,data/floating-city/images/035_2-3_4K_2336x3520_medium.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",ok,
36,2:3,4K,2336x3520,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",105,15703,15808,高,0.471090,0.471616,235808,165,2m 45s,12419848,11.84 MB,data/floating-city/images/036_2-3_4K_2336x3520_high.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition. Highly detailed, photorealistic, dramatic yet serene atmosphere, expansive scale, crisp reflections, subtle motion in transport pods, ultra-wide lens perspective.",ok,
